index,Unnamed: 0,title,soup
0,1,"hey, soul sister",train neo mellow
1,2,love the way you lie,eminem detroit hip hop
2,3,tik tok,kesha dance pop
3,4,bad romance,ladygaga dance pop
4,5,just the way you are,brunomars pop
5,6,baby,justinbieber canadian pop
6,7,dynamite,taiocruz dance pop
7,8,secrets,onerepublic dance pop
8,9,empire state of mind broken down,aliciakeys hip pop
9,10,only girl,rihanna barbadian pop
10,11,club can't handle me,florida dance pop
11,12,marry you,brunomars pop
12,13,cooler than me,mikeposner dance pop
13,14,telephone,ladygaga dance pop
14,15,like a g6,fareastmovement dance pop
15,16,omg,usher atl hip hop
16,17,eenie meenie,seankingston dance pop
17,18,the time,theblackeyedpeas dance pop
18,19,alejandro,ladygaga dance pop
19,20,your love is my drug,kesha dance pop
20,21,meet me halfway,theblackeyedpeas dance pop
21,22,whataya want from me,adamlambert australian pop
22,23,take it off,kesha dance pop
23,24,misery,maroon5 pop
24,25,all the right moves,onerepublic dance pop
25,26,animal,neontrees indie pop
26,27,naturally,selenagomez&thescene dance pop
27,28,i like it,enriqueiglesias dance pop
28,29,teenage dream,katyperry dance pop
29,30,california gurls,katyperry dance pop
30,31,3,britneyspears dance pop
31,32,my first kiss,3oh!3 dance pop
32,33,blah blah blah,kesha dance pop
33,34,imma be,theblackeyedpeas dance pop
34,35,try sleeping with a broken heart,aliciakeys hip pop
35,36,sexy bitch,davidguetta dance pop
36,37,bound to you,christinaaguilera dance pop
51,52,a thousand years,christinaperri dance pop
52,53,someone like you,adele british soul
53,54,give me everything,pitbull dance pop
55,56,rolling in the deep,adele british soul
56,57,run the world,beyoncé dance pop
57,58,moves like jagger,maroon5 pop
58,59,love on top,beyoncé dance pop
59,60,grenade,brunomars pop
60,61,tonight tonight,hotchellerae dance pop
61,62,what the hell,avrillavigne canadian pop
62,63,born this way,ladygaga dance pop
63,64,monster,kanyewest chicago rap
65,66,best thing i never had,beyoncé dance pop
66,67,party rock anthem,lmfao dance pop
67,68,we r who we r,kesha dance pop
68,69,price tag,jessiej australian pop
69,70,good life,onerepublic dance pop
70,71,just cant get enough,theblackeyedpeas dance pop
71,72,on the floor,jenniferlopez dance pop
72,73,what's my name?,rihanna barbadian pop
73,74,yeah 3x,chrisbrown dance pop
74,75,without you,davidguetta dance pop
75,76,sexy and i know it,lmfao dance pop
76,77,the edge of glory,ladygaga dance pop
77,78,e.t.,katyperry dance pop
78,79,till the world ends,britneyspears dance pop
79,80,i wanna go,britneyspears dance pop
80,81,blow,kesha dance pop
81,82,you and i,ladygaga dance pop
82,83,judas,ladygaga dance pop
83,84,tonight,enriqueiglesias dance pop
84,85,please don't go,mikeposner dance pop
85,86,we found love,rihanna barbadian pop
86,87,marry the night,ladygaga dance pop
104,105,titanium,davidguetta dance pop
105,106,locked out of heaven,brunomars pop
106,107,paradise,coldplay permanent wave
107,108,payphone,maroon5 pop
108,109,what makes you beautiful,onedirection boy band
109,110,i knew you were trouble.,taylorswift pop
110,111,call me maybe,carlyraejepsen canadian pop
111,112,love you like a love song,selenagomez&thescene dance pop
112,113,set fire to the rain,adele british soul
113,114,we are never ever getting back together,taylorswift pop
114,115,stronger,kellyclarkson dance pop
115,116,try,p!nk dance pop
116,117,starships,nickiminaj dance pop
117,118,one more night,maroon5 pop
118,119,good time,owlcity pop
119,120,glad you came,thewanted boy band
120,121,beauty and a beat,justinbieber canadian pop
121,122,international love,pitbull dance pop
122,123,some nights,fun. baroque pop
123,124,boyfriend,justinbieber canadian pop
124,125,part of me,katyperry dance pop
125,126,domino,jessiej australian pop
126,127,where have you been,rihanna barbadian pop
127,128,wide awake,katyperry dance pop
128,129,the one that got away,katyperry dance pop
129,130,dance again,jenniferlopez dance pop
130,131,turn up the music,chrisbrown dance pop
131,132,lights,elliegoulding dance pop
132,133,we are young,fun. baroque pop
133,134,diamonds,rihanna barbadian pop
139,140,underneath the tree,kellyclarkson dance pop
140,141,wake me up,avicii big room
141,142,story of my life,onedirection boy band
142,143,just give me a reason,p!nk dance pop
143,144,hall of fame,thescript celtic rock
144,145,roar,katyperry dance pop
145,146,we can't stop,mileycyrus dance pop
146,147,don't you worry child,swedishhousemafia big room
147,148,get lucky,daftpunk electro
148,149,wrecking ball,mileycyrus dance pop
149,150,impossible,jamesarthur pop
150,151,blurred lines,robinthicke dance pop
151,152,heart attack,demilovato dance pop
153,154,die young,kesha dance pop
154,155,clarity,zedd complextro
155,156,summertime sadness,lanadelrey art pop
156,157,under control,calvinharris dance pop
157,158,everybody talks,neontrees indie pop
158,159,"hold on, we're going home",drake canadian hip hop
159,160,best song ever,onedirection boy band
160,161,kiss you,onedirection boy band
161,162,sweet nothing,calvinharris dance pop
162,163,lose yourself to dance,daftpunk electro
163,164,work bitch,britneyspears dance pop
164,165,brave,sarabareilles acoustic pop
165,166,can't hold us,macklemore&ryanlewis dance pop
166,167,feel this moment,pitbull dance pop
167,168,beneath your beautiful,labrinth pop
168,169,let me love you,ne-yo dance pop
169,170,thrift shop,macklemore&ryanlewis dance pop
170,171,if i lose myself,onerepublic dance pop
171,172,the way,arianagrande dance pop
172,173,suit & tie,justintimberlake dance pop
173,174,#thatpower,will.i.am dance pop
174,175,i love it,iconapop candy pop
175,176,play hard,davidguetta dance pop
176,177,daylight,maroon5 pop
177,178,love somebody,maroon5 pop
178,179,a little party never killed nobody,fergie dance pop
179,180,move,littlemix dance pop
180,181,walks like rihanna,thewanted boy band
181,182,rock n roll,avrillavigne canadian pop
182,183,heartbreaker,justinbieber canadian pop
210,211,all of me,johnlegend neo mellow
211,212,stay with me,samsmith pop
212,213,summer,calvinharris dance pop
213,214,happy,pharrellwilliams dance pop
214,215,rude,magic! pop
215,216,shake it off,taylorswift pop
216,217,dark horse,katyperry dance pop
217,218,hey brother,avicii big room
218,219,maps,maroon5 pop
219,220,treasure,brunomars pop
220,221,let her go,passenger folk-pop
221,222,problem,arianagrande dance pop
222,223,pompeii,bastille metropopolis
223,224,team,lorde art pop
224,225,love me again,johnnewman pop
225,226,latch,disclosure house
226,227,adore you,mileycyrus dance pop
227,228,love never felt so good,michaeljackson pop
228,229,burn,elliegoulding dance pop
229,230,she looks so perfect,5secondsofsummer boy band
230,231,fancy,iggyazalea australian hip hop
231,232,talk dirty,jasonderulo dance pop
232,233,gorilla,brunomars pop
233,234,human,christinaperri dance pop
234,235,young girls,brunomars pop
235,236,wiggle,jasonderulo dance pop
236,237,love runs out,onerepublic dance pop
237,238,this is how we do,katyperry dance pop
238,239,mmm yeah,austinmahone dance pop
240,241,#selfie,thechainsmokers electropop
241,242,partition,beyoncé dance pop
242,243,birthday,katyperry dance pop
243,244,g.u.y.,ladygaga dance pop
244,245,stay the night,zedd complextro
245,246,let it go,demilovato dance pop
246,247,wings,birdy neo mellow
247,248,can't remember to forget you,shakira colombian pop
248,249,shot me down,davidguetta dance pop
249,250,say something,agreatbigworld neo mellow
268,269,thinking out loud,edsheeran pop
269,270,i'm not the only one,samsmith pop
270,271,the hills,theweeknd canadian contemporary r&b
271,272,love yourself,justinbieber canadian pop
272,273,uptown funk,markronson dance pop
273,274,take me to church,hozier irish singer-songwriter
274,275,sugar,maroon5 pop
275,276,sorry,justinbieber canadian pop
276,277,fourfiveseconds,rihanna barbadian pop
277,278,love me like you do,elliegoulding dance pop
278,279,earned it,theweeknd canadian contemporary r&b
279,280,what do you mean?,justinbieber canadian pop
280,281,stitches,shawnmendes canadian pop
281,282,want to want me,jasonderulo dance pop
282,283,my house,florida dance pop
283,284,waves,mr.probz tropical house
284,285,night changes,onedirection boy band
285,286,how deep is your love,calvinharris dance pop
286,287,never forget you,zaralarsson dance pop
287,288,love me harder,arianagrande dance pop
288,289,animals,maroon5 pop
289,290,blame,calvinharris dance pop
290,291,worth it,fifthharmony dance pop
291,292,break free,arianagrande dance pop
292,293,don't,edsheeran pop
293,294,elastic heart,sia australian dance
294,295,rather be,cleanbandit dance pop
295,296,hello,adele british soul
296,297,dear future husband,meghantrainor dance pop
297,298,43776,beyoncé dance pop
298,299,the heart wants what it wants,selenagomez dance pop
299,300,hey mama,davidguetta dance pop
300,301,genie in a bottle,christinaaguilera dance pop
301,302,company,justinbieber canadian pop
302,303,sing,edsheeran pop
303,304,jealous,nickjonas dance pop
304,305,really don't care,demilovato dance pop
305,306,downtown,macklemore&ryanlewis dance pop
306,307,only love can hurt like this,palomafaith british soul
307,308,heartbeat song,kellyclarkson dance pop
308,309,up,ollymurs dance pop
309,310,trumpets,jasonderulo dance pop
310,311,runnin',naughtyboy tropical house
311,312,same old love,selenagomez dance pop
312,313,i want you to know,zedd complextro
313,314,lips are movin,meghantrainor dance pop
314,315,i'll show you,justinbieber canadian pop
315,316,here,alessiacara canadian contemporary r&b
316,317,i lived,onerepublic dance pop
317,318,fireball,pitbull dance pop
318,319,easy love,sigala dance pop
319,320,the feeling,justinbieber canadian pop
320,321,i really like you,carlyraejepsen canadian pop
321,322,bo$$,fifthharmony dance pop
323,324,focus,arianagrande dance pop
324,325,all about that bass,meghantrainor dance pop
325,326,on my mind,elliegoulding dance pop
326,327,love me like you,littlemix dance pop
327,328,broken arrows,avicii big room
328,329,booty,jenniferlopez dance pop
330,331,mark my words,justinbieber canadian pop
331,332,lay it all on me,rudimental dance pop
332,333,american oxygen,rihanna barbadian pop
333,334,bang bang,jessiej australian pop
334,335,reality,lostfrequencies belgian edm
335,336,alive,sia australian dance
365,366,cake by the ocean,dnce dance pop
366,367,don't let me down,thechainsmokers electropop
367,368,in the name of love,martingarrix big room
368,369,into you,arianagrande dance pop
369,370,this is what you came for,calvinharris dance pop
370,371,million reasons,ladygaga dance pop
371,372,needed me,rihanna barbadian pop
372,373,7 years,lukasgraham danish pop
373,374,can't stop the feeling!,justintimberlake dance pop
374,375,work from home,fifthharmony dance pop
375,376,scars to your beautiful,alessiacara canadian contemporary r&b
376,377,like i'm gonna lose you,meghantrainor dance pop
377,378,work,rihanna barbadian pop
379,380,"me, myself & i",g-eazy hip hop
380,381,i took a pill in ibiza,mikeposner dance pop
381,382,dangerous woman,arianagrande dance pop
382,383,starving,haileesteinfeld dance pop
383,384,shout out to my ex,littlemix dance pop
384,385,electric love,børns electropop
385,386,confident,demilovato dance pop
386,387,too good,drake canadian hip hop
387,388,roses,thechainsmokers electropop
388,389,cold water,majorlazer dance pop
389,390,me too,meghantrainor dance pop
390,391,light it up [remix],majorlazer dance pop
391,392,ain't your mama,jenniferlopez dance pop
392,393,close,nickjonas dance pop
393,394,toothbrush,dnce dance pop
394,395,all we know,thechainsmokers electropop
395,396,final song,mø dance pop
397,398,hands to myself,selenagomez dance pop
398,399,all i ask,adele british soul
399,400,just like fire,p!nk dance pop
400,401,no,meghantrainor dance pop
401,402,kill em with kindness,selenagomez dance pop
402,403,cool girl,tovelo dance pop
405,406,perfect illusion,ladygaga dance pop
406,407,pillowtalk,zayn dance pop
407,408,out of the woods,taylorswift pop
408,409,rise,katyperry dance pop
409,410,wherever i go,onerepublic dance pop
410,411,body say,demilovato dance pop
411,412,don't be a fool,shawnmendes canadian pop
412,413,like i would,zayn dance pop
413,414,cheap thrills,sia australian dance
414,415,i got you,beberexha dance pop
415,416,run away with me,carlyraejepsen canadian pop
416,417,cruel,snakehips dance pop
417,418,send my love,adele british soul
443,444,shape of you,edsheeran pop
444,445,closer,thechainsmokers electropop
445,446,starboy,theweeknd canadian contemporary r&b
446,447,treat you better,shawnmendes canadian pop
447,448,that's what i like,brunomars pop
449,450,i feel it coming,theweeknd canadian contemporary r&b
450,451,mercy,shawnmendes canadian pop
451,452,side to side,arianagrande dance pop
452,453,stay,zedd complextro
453,454,it ain't me,kygo edm
454,455,malibu,mileycyrus dance pop
455,456,something just like this,thechainsmokers electropop
456,457,rockabye,cleanbandit dance pop
457,458,i dont wanna live forever,zayn dance pop
458,459,my way,calvinharris dance pop
459,460,i'm the one,djkhaled dance pop
460,461,praying,kesha dance pop
461,462,despacito,luisfonsi latin
462,463,the greatest,sia australian dance
463,464,there for you,martingarrix big room
464,465,paris,thechainsmokers electropop
465,466,crying in the club,camilacabello dance pop
466,467,mama,jonasblue dance pop
467,468,slide,calvinharris dance pop
468,469,swish swish,katyperry dance pop
469,470,chained to the rhythm,katyperry dance pop
470,471,cold,maroon5 pop
471,472,love,lanadelrey art pop
472,473,reggaeton lento,cnco boy band
474,475,first time,kygo edm
475,476,the cure,ladygaga dance pop
476,477,how far i'll go,alessiacara canadian contemporary r&b
477,478,bodak yellow,cardib pop
478,479,rich love,onerepublic dance pop
479,480,tired,alanwalker electro house
480,481,came here for love,sigala dance pop
481,482,24k magic,brunomars pop
482,483,strip that down,liampayne dance pop
483,484,cut to the feeling,carlyraejepsen canadian pop
484,485,ok,robinschulz dance pop
485,486,bon appetit,katyperry dance pop
486,487,summer bummer,lanadelrey art pop
487,488,get low,zedd complextro
488,489,kissing strangers,dnce dance pop
489,490,slow hands,niallhoran dance pop
490,491,younger now,mileycyrus dance pop
491,492,body moves,dnce dance pop
508,509,one kiss,calvinharris dance pop
509,510,havana,camilacabello dance pop
511,512,new rules,dualipa dance pop
512,513,there's nothing holdin' me back,shawnmendes canadian pop
513,514,no tears left to cry,arianagrande dance pop
514,515,idgaf,dualipa dance pop
515,516,in my blood,shawnmendes canadian pop
516,517,wolves,selenagomez dance pop
517,518,dusk till dawn,zayn dance pop
518,519,attention,charlieputh dance pop
519,520,electricity,silkcity edm
520,521,love on the brain,rihanna barbadian pop
521,522,let me go,haileesteinfeld dance pop
522,523,silence,marshmello brostep
523,524,sorry not sorry,demilovato dance pop
524,525,shallow,ladygaga dance pop
525,526,these days,rudimental dance pop
526,527,what lovers do,maroon5 pop
527,528,finesse,brunomars pop
528,529,perfect duet,edsheeran pop
529,530,bad at love,halsey dance pop
530,531,him & i,g-eazy hip hop
531,532,friends,justinbieber canadian pop
532,533,wild thoughts,djkhaled dance pop
533,534,my my my!,troyesivan dance pop
534,535,capital letters,haileesteinfeld dance pop
535,536,sick boy,thechainsmokers electropop
536,537,tequila,dan+shay contemporary country
537,538,look what you made me do,taylorswift pop
538,539,youth,shawnmendes canadian pop
539,540,bad liar,selenagomez dance pop
540,541,anywhere,ritaora dance pop
542,543,chun,nickiminaj dance pop
543,544,sign of the times,harrystyles dance pop
544,545,familiar,liampayne dance pop
545,546,let me,zayn dance pop
546,547,supernova,anselelgort dance pop
547,548,nervous,shawnmendes canadian pop
549,550,end game,taylorswift pop
550,551,mi gente,jbalvin latin
551,552,lemon,n.e.r.d hip hop
552,553,for you,liampayne dance pop
553,554,want to,dualipa dance pop
554,555,what i need,hayleykiyoko dance pop
555,556,wait,maroon5 pop
556,557,what about us,p!nk dance pop
558,559,2u,davidguetta dance pop
559,560,walk on water,eminem detroit hip hop
560,561,this town,niallhoran dance pop
561,562,girls,ritaora dance pop
562,563,move to miami,enriqueiglesias dance pop
563,564,miss you,cashmerecat downtempo
564,565,filthy,justintimberlake dance pop
572,573,memories,maroon5 pop
573,574,lose you to love me,selenagomez dance pop
574,575,someone you loved,lewiscapaldi pop
575,576,senorita,shawnmendes canadian pop
576,577,how do you sleep?,samsmith pop
577,578,south of the border,edsheeran pop
578,579,trampoline,shaed electropop
579,580,happier,marshmello brostep
580,581,truth hurts,lizzo escape room
581,582,good as hell,lizzo escape room
582,583,higher love,kygo edm
583,584,only human,jonasbrothers boy band
584,585,beautiful people,edsheeran pop
585,586,sucker,jonasbrothers boy band
586,587,don't call me up,mabel dance pop
587,588,i don't care,edsheeran pop
588,589,talk,khalid alternative r&b
589,590,giant,calvinharris dance pop
590,591,takeaway,thechainsmokers electropop
591,592,all around the world,r3hab big room
592,593,girls like you,maroon5 pop
593,594,call you mine,thechainsmokers electropop
594,595,no guidance,chrisbrown dance pop
595,596,antisocial,edsheeran pop
596,597,taki taki,djsnake electronic trap
597,598,con calma,daddyyankee latin
598,599,find u again,markronson dance pop
599,600,cross me,edsheeran pop
600,601,no brainer,djkhaled dance pop
601,602,nothing breaks like a heart,markronson dance pop
602,603,kills you slowly,thechainsmokers electropop
